,oak_count,oak_score,oak_mentions_count,black_fruit_count,black_fruit_score,black_fruit_mentions_count,earth_count,earth_score,earth_mentions_count,red_fruit_count,red_fruit_score,red_fruit_mentions_count,spices_count,spices_score,spices_mentions_count,microbio_count,microbio_score,microbio_mentions_count,floral_count,floral_score,floral_mentions_count,tree_fruit_count,tree_fruit_score,tree_fruit_mentions_count,dried_fruit_count,dried_fruit_score,dried_fruit_mentions_count,vegetal_count,vegetal_score,vegetal_mentions_count,non_oak_count,non_oak_score,non_oak_mentions_count,citrus_fruit_count,citrus_fruit_score,citrus_fruit_mentions_count,acidity,fizziness,intensity,sweetness,tannin,user_structure_count,calculated_structure_count,tropical_fruit_count,tropical_fruit_score,tropical_fruit_mentions_count
86669,73.0,8539.0,85.0,88.0,11775.0,119.0,53.0,5107.0,58.0,26.0,1760.0,16.0,73.0,6774.0,68.0,4.0,400.0,4.0,14.0,1425.0,14.0,,,,5.0,456.0,5.0,3.0,225.0,2.0,46.0,739.0,1.0,,,,3.0185144,,4.445938,2.060306,3.723628,26.0,146.0,,,
66184,78.0,8921.0,99.0,39.0,4814.0,49.0,70.0,8536.0,87.0,39.0,4548.0,45.0,41.0,3977.0,40.0,13.0,573.0,2.0,13.0,1225.0,12.0,,,,9.0,729.0,7.0,5.0,425.0,4.0,51.0,1252.0,5.0,5.0,500.0,5.0,2.3995898,,3.804363,2.0992398,2.9382505,29.0,128.0,,,
1458882,45.0,5283.0,57.0,26.0,3065.0,31.0,34.0,3913.0,41.0,32.0,4025.0,40.0,29.0,3114.0,32.0,9.0,643.0,5.0,4.0,250.0,2.0,1.0,100.0,1.0,11.0,910.0,9.0,3.0,60.0,0.0,28.0,737.0,3.0,4.0,600.0,6.0,3.8053734,,3.0783975,1.6462961,3.4347968,29.0,83.0,,,
66114,83.0,8545.0,92.0,64.0,7894.0,80.0,91.0,11463.0,127.0,54.0,6417.0,63.0,42.0,4366.0,45.0,25.0,1258.0,2.0,18.0,2175.0,21.0,,,,3.0,289.0,3.0,6.0,375.0,3.0,48.0,1018.0,2.0,3.0,400.0,4.0,4.7005334,,3.7736096,1.7735893,3.9938283,29.0,142.0,,,
1145171,37.0,6406.0,71.0,22.0,2353.0,23.0,23.0,1401.0,11.0,9.0,913.0,9.0,14.0,727.0,7.0,3.0,267.0,3.0,1.0,100.0,1.0,,,,7.0,734.0,8.0,,,,26.0,366.0,0.0,,,,,,,,,,,1.0,33.0,0.0
1775844,100.0,15119.0,164.0,111.0,18510.0,189.0,70.0,7103.0,74.0,58.0,4333.0,40.0,56.0,4482.0,45.0,12.0,823.0,5.0,10.0,950.0,9.0,2.0,200.0,2.0,17.0,1421.0,14.0,6.0,210.0,1.0,83.0,1849.0,7.0,2.0,200.0,2.0,3.8399765,,4.87578,1.8515838,3.4903207,58.0,218.0,,,
2080162,143.0,12257.0,128.0,117.0,16778.0,169.0,150.0,16945.0,182.0,71.0,7339.0,72.0,90.0,9820.0,100.0,37.0,2211.0,15.0,16.0,1825.0,18.0,6.0,700.0,7.0,15.0,1256.0,13.0,5.0,335.0,3.0,81.0,1401.0,2.0,5.0,500.0,5.0,3.1021588,,4.6758738,1.7696313,2.8799112,67.0,313.0,5.0,433.0,4.0
5105319,6.0,696.0,8.0,5.0,500.0,5.0,3.0,137.0,1.0,2.0,200.0,2.0,2.0,12.0,0.0,2.0,200.0,2.0,,,,,,,1.0,100.0,1.0,,,,4.0,55.0,0.0,,,,1.8592116,,4.2885303,3.191039,2.1741579,21.0,14.0,,,
6204446,6.0,987.0,12.0,9.0,1823.0,19.0,6.0,553.0,4.0,7.0,912.0,9.0,3.0,169.0,2.0,,,,1.0,100.0,1.0,,,,3.0,65.0,0.0,,,,6.0,91.0,0.0,2.0,200.0,2.0,,,,,,,,,,
1215943,13.0,1259.0,13.0,14.0,2200.0,22.0,8.0,838.0,9.0,10.0,1200.0,12.0,8.0,851.0,9.0,3.0,166.0,1.0,4.0,500.0,5.0,1.0,100.0,1.0,,,,,,,5.0,86.0,0.0,1.0,100.0,1.0,3.5815575,,4.439439,1.809595,3.3029907,3.0,16.0,,,
1930757,80.0,9234.0,99.0,36.0,5020.0,51.0,43.0,3461.0,37.0,34.0,3091.0,30.0,35.0,1682.0,16.0,9.0,716.0,6.0,3.0,300.0,3.0,,,,7.0,771.0,8.0,2.0,200.0,2.0,53.0,1025.0,3.0,,,,3.8593054,,4.807618,1.518191,3.329664,20.0,127.0,,,
1213831,17.0,2724.0,26.0,9.0,1211.0,12.0,12.0,1425.0,16.0,5.0,500.0,5.0,7.0,377.0,5.0,,,,,,,,,,1.0,89.0,1.0,,,,11.0,274.0,1.0,,,,2.8339083,,4.1285033,1.7868398,3.207318,26.0,21.0,,,
1108412,1.0,9.0,0.0,,,,2.0,191.0,2.0,4.0,400.0,4.0,,,,1.0,100.0,1.0,,,,,,,,,,,,,,,,,,,4.3761053,,3.3843687,1.6711053,2.8358421,8.0,4.0,,,
82043,9.0,917.0,9.0,7.0,800.0,8.0,8.0,589.0,7.0,3.0,400.0,4.0,6.0,622.0,6.0,,,,1.0,100.0,1.0,,,,1.0,100.0,1.0,1.0,100.0,1.0,5.0,72.0,0.0,,,,,,,,,,,,,
